DoseRespID,ObsID,Dose,DoseUnit,TotalAnimals,WithTumours
29392,2694,0,ppm,106,1
565,2696,0,ppm,49,0
29393,2697,0,ppm,107,1
29394,2698,0,ppm,50,0
29395,2699,0,ppm,50,0
29396,2700,0,ppm,54,1
29397,2701,0,ppm,106,1
29401,2705,0,ppm,50,0
29403,2707,0,ppm,50,0
29404,2708,0,ppm,106,1
29405,2709,0,ppm,50,0
29445,2749,0,ppm,50,0
29446,2750,0,ppm,50,0
29447,2751,0,ppm,50,0
29448,2752,0,ppm,106,1
29449,2754,0,ppm,50,0
29464,2769,0,ppm,50,0
29465,2770,0,ppm,50,0
29466,2771,0,ppm,107,1
29472,2778,0,ppm,54,1
29473,2779,0,ppm,107,1
29474,2780,0,ppm,50,0
29475,2781,0,ppm,50,0
29476,2782,0,ppm,50,0
29477,2783,0,ppm,50,0
29478,2784,0,ppm,50,0
29479,2785,0,ppm,50,0
568,2786,0,ppm,49,0
569,2787,0,ppm,49,0
29485,2793,0,ppm,50,0
29486,2794,0,ppm,50,0
29487,2795,0,ppm,54,1
29488,2796,0,ppm,107,1
571,2801,0,ppm,49,0
572,2802,0,ppm,49,0
29492,2803,0,ppm,50,0
29493,2804,0,ppm,50,0
29496,2807,0,ppm,50,0
29497,2808,0,ppm,106,1
29500,2811,0,ppm,50,0
29501,2812,0,ppm,50,0
29503,2814,0,ppm,50,0
29525,2841,0,mg/kg bw,50,0
29532,2848,0,ppm,50,0
29533,2849,0,ppm,50,0
578,2859,0,mg/kg bw,50,0
579,2860,0,mg/kg bw,50,0
29587,2906,0,mg/kg bw,50,0
29595,2919,0,mg/kg bw,98,0
29627,2963,0,mg/kg bw,50,1
29628,2964,0,mg/kg bw,50,2
606,2994,0,mg/kg bw,86,0
29673,3020,0,mg/kg bw,50,1
29703,3055,0,mg/kg bw,50,1
29735,3093,0,mg/kg bw,50,0
29785,3162,0,mg/kg bw,50,0
638,3163,0,mg/kg bw,50,1
641,3168,0,ppm,50,2
642,3169,0,ppm,50,5
29848,3245,0,mg/kg bw,50,1
29851,3250,0,ppm,50,0
29867,3267,0,mg/kg bw,98,1
29900,3304,0,mg/kg bw,50,0
29908,3312,0,mg/kg bw,50,0
29910,3314,0,mg/kg bw,98,1
29980,3410,0,ppm,50,1
706,3473,0,mg/kg bw,50,2
708,3476,0,ppm,50,2
30047,3504,0,ppm,107,2
30070,3534,0,mg/kg bw,50,0
30072,3537,0,ppm,50,1
30082,3555,0,mg/kg bw,98,1
30089,3564,0,ppm,50,0
30090,3565,0,ppm,50,0
30098,3574,0,ppm,107,1
30104,3581,0,ppm,50,0
30105,3582,0,ppm,50,0
30110,3587,0,ppm,54,1
30111,3588,0,ppm,107,1
30125,3603,0,mg/kg bw,50,1
741,3617,0,ppm,49,0
742,3618,0,ppm,50,0
30146,3629,0,mg/kg bw,50,0
30147,3631,0,ppm,50,0
747,3635,0,mg/kg bw,98,0
30163,3658,0,ppm,50,1
30164,3660,0,ppm,54,1
30165,3661,0,ppm,107,1
30166,3662,0,ppm,50,0
30167,3663,0,ppm,50,0
30169,3667,0,ppm,54,1
30170,3668,0,ppm,106,1
761,3678,0,ppm,50,0
762,3679,0,ppm,50,0
30178,3681,0,ppm,50,0
30180,3683,0,ppm,50,0
30185,3690,0,ppm,50,0
30186,3691,0,ppm,106,1
30191,3696,0,ppm,50,0
30229,3739,0,ppm,50,0
30230,3740,0,ppm,50,0
30239,3749,0,ppm,50,0
30240,3750,0,ppm,50,0
775,3778,0,ppm,50,0
776,3779,0,ppm,50,0
30270,3787,0,mg/kg bw,50,1
30292,3814,0,mg/kg bw,50,0
30308,3836,0,ppm,50,0
790,3853,0,mg/kg bw,50,0
30324,3855,0,ppm,50,1
30368,3909,0,ppm,50,0
30369,3910,0,ppm,106,1
30394,3942,0,mg/kg bw,50,2
30396,3944,0,ppm,50,2
30413,3967,0,ppm,50,0
30414,3968,0,ppm,50,0
30436,3995,0,ppm,106,1
30452,4011,0,mg/kg bw,50,0
30453,4012,0,ppm,50,0
30458,4017,0,ppm,50,0
30461,4022,0,mg/kg bw,50,0
30469,4031,0,ppm,50,0
